SMILES,monkey_fup
Cc1cn2cc(-c3cc(=O)n4cc(N5CCN(C)CC5)ccc4n3)cc(F)c2n1,-0.7447274946554192
N=C(N)NCCCNC(=O)C1CCCCN1C(=O)C(CC1CCCCC1)NCC(=O)O,-0.1191864076620646
O=C1NC(=O)[C@](CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)(C2CC2)N1,-0.6401645174704638
CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,4.342945178152237e-11
CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-2.1877552965078824
CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)C([C@@H](C)O)[C@H]3C2)C1,-0.0315170513993665
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,-0.9999999995657056
Cc1nc(=O)c2c([nH]1)c([C@H](C)c1ccc(C(C)(C)C)cc1)nn2CCF,-1.795880014629735
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,-0.7958800170726411
C[C@H](Nc1nc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1,-2.6989699826212954
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-2.004364801015637
O=C(O)CCNC(=O)c1ccccc1,-0.5528419685026755
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,-0.5026556188442416
C[C@H]1C(=NC(=O)C(NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-0.2757241303172685
CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,-4.935538266871272
NC1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,-0.4685210828300111
